iter	RMSE
0	0.5905432802
1	0.5659914044
2	0.5426515128
3	0.5208482929
4	0.5005636139
5	0.4811987878
6	0.4630345057
7	0.4450983112
8	0.4285495309
9	0.4126704242
10	0.3979374582
11	0.3840135103
12	0.3707160196
13	0.3585212582
14	0.3468376878
15	0.3354091261
16	0.3246025982
17	0.314548585
18	0.3051453401
19	0.2965727185
20	0.2888295377
21	0.2810411014
22	0.2735163239
23	0.2666579952
24	0.260148809
25	0.2541360058
26	0.2481796769
27	0.2428516898
28	0.2378907917
29	0.2330474932
30	0.2286515861
31	0.2245391333
32	0.2205439951
33	0.2169462567
34	0.2136204578
35	0.210538566
36	0.207674339
37	0.2050786185
38	0.2026209894
39	0.2003120268
40	0.1980710914
41	0.1961499076
42	0.1941848413
43	0.1922609129
44	0.1905975338
45	0.1890276588
46	0.18759638
47	0.1861834367
48	0.1849721709
49	0.1836135116
50	0.1824164206
51	0.1812501907
52	0.1801897201
53	0.1792256587
54	0.1784032742
55	0.1775626968
56	0.1767865155
57	0.1760248171
58	0.1753094232
59	0.1746730331
60	0.1740786998
61	0.1734771789
62	0.1728894578
63	0.172238829
64	0.1715873152
65	0.1710458505
66	0.1705016068
67	0.1698956922
68	0.1693557884
69	0.1688922589
70	0.1684431326
71	0.1680108707
72	0.1676222305
73	0.1671994698
74	0.1668102654
75	0.1665169126
76	0.1662472159
77	0.1659844245
78	0.1656273381
79	0.1652774912
80	0.164965871
81	0.164653979
82	0.1643792518
83	0.1641197206
84	0.1638576125
85	0.1636126108
86	0.1633574866
87	0.163125503
88	0.162937245
89	0.1627172073
90	0.1625527452
91	0.1623264324
92	0.1620736827
93	0.1618559797
94	0.1616389604
95	0.161484436
96	0.1613243085
97	0.1611773769
98	0.1610261027
99	0.1608192516
100	0.1606178413
101	0.160393283
102	0.1602855315
103	0.1601387155
104	0.1599682786
105	0.1598188721
106	0.1596680129
107	0.1595856589
108	0.1594595755
109	0.1593569942
110	0.1593007402
111	0.1591661216
112	0.1590274719
113	0.1589105845
114	0.1587632424
115	0.1586391741
116	0.1585387733
117	0.1584626629
118	0.1582981024
119	0.1580712977
120	0.1579422933
121	0.1578550425
122	0.1576988069
123	0.1575957218
124	0.1575085561
125	0.157384867
126	0.1572727049
127	0.1571395323
128	0.1570075358
129	0.1568611709
130	0.1567650447
131	0.1566413727
132	0.1565891911
133	0.1565085106
134	0.1563982073
135	0.156300024
136	0.1562903237
137	0.1561799163
138	0.1560728095
139	0.1560185475
140	0.1559431151
141	0.1558778066
142	0.1557323152
143	0.1556257767
144	0.1555467563
145	0.155407131
146	0.1552996709
147	0.1552026638
148	0.1550879765
149	0.1550274265
150	0.1549877251
151	0.1548956426
152	0.1548274165
153	0.1547308293
154	0.1546780935
155	0.1545660374
156	0.1544912106
157	0.1544482729
158	0.1543662466
159	0.1543203825
160	0.1541964354
161	0.1541331101
162	0.1540236216
163	0.1539706269
164	0.1539026668
165	0.1538429793
166	0.1537389291
167	0.1536754942
168	0.1535815693
169	0.1535201358
170	0.1534000174
171	0.153350958
172	0.1532813417
173	0.1532223573
174	0.1531802402
175	0.1531219873
176	0.1530521645
177	0.1529701666
178	0.152876253
179	0.1527837507
180	0.152721047
181	0.152682169
182	0.1526100799
183	0.1525134003
184	0.1524539818
185	0.1523593628
186	0.1522230681
187	0.1521815769
188	0.1521449772
189	0.1520864103
190	0.1520198254
191	0.1519362777
192	0.1519073578
193	0.1518465649
194	0.151791029
195	0.1517231588
196	0.1516393979
197	0.1515336714
198	0.15147996
199	0.1514156574
200	0.1513717556
201	0.1512832742
202	0.1511796265
203	0.1510420073
204	0.150971962
205	0.1508790111
206	0.1508139915
207	0.150764894
208	0.1506331431
209	0.1505853248
210	0.1505174988
211	0.150408568
212	0.1503552838
213	0.1501898952
214	0.150126846
215	0.1500926662
216	0.1500364584
217	0.1499926543
218	0.1499341301
219	0.1498772373
220	0.1498327175
221	0.149790737
222	0.1496944666
223	0.1496443508
224	0.1495232352
225	0.1494804941
226	0.1494268264
227	0.1493636258
228	0.1493006811
229	0.1492027959
230	0.1491543791
231	0.1491221466
232	0.149049582
233	0.1489517094
234	0.1488960993
235	0.1488356386
236	0.148784862
237	0.1487494271
238	0.1487164621
239	0.1486389232
240	0.1485947451
241	0.1485640424
242	0.1484923016
243	0.1484386475
244	0.1483718268
245	0.1482739529
246	0.1481886412
247	0.1481351349
248	0.1481205085
249	0.1479428429
250	0.1479187497
251	0.1478829814
252	0.1478153229
253	0.1477630577
254	0.1477166222
255	0.147684566
256	0.147623343
257	0.1475759309
258	0.1475527464
259	0.1475124235
260	0.1474960468
261	0.147463443
262	0.1474193505
263	0.1473650578
264	0.1472844707
265	0.1471312315
266	0.1470427407
267	0.1469755447
268	0.1469386054
269	0.146852391
270	0.1468413564
271	0.1467561403
