iter	Passed	Remaining
0	98	98438
1	164	82272
2	228	76019
3	297	74111
4	364	72446
5	429	71206
6	482	68477
7	531	65859
8	576	63487
9	626	61975
10	679	61123
11	731	60193
12	783	59494
13	833	58677
14	890	58498
15	962	59209
16	1032	59682
17	1126	61436
18	1188	61362
19	1259	61720
20	1326	61843
21	1399	62196
22	1465	62239
23	1526	62083
24	1580	61646
25	1639	61417
26	1709	61603
27	1766	61314
28	1822	61008
29	1889	61079
30	1959	61249
31	2033	61522
32	2112	61891
33	2176	61842
34	2243	61856
35	2333	62496
36	2398	62417
37	2473	62628
38	2545	62718
39	2616	62787
40	2688	62884
41	2759	62953
42	2834	63077
43	2907	63166
44	2988	63414
45	3047	63199
46	3121	63302
47	3191	63289
48	3262	63325
49	3336	63390
50	3412	63503
51	3490	63639
52	3564	63686
53	3641	63796
54	3711	63776
55	3785	63819
56	3865	63949
57	3935	63917
58	4002	63839
59	4078	63899
60	4152	63917
61	4235	64073
62	4312	64137
63	4402	64387
64	4461	64182
65	4535	64177
66	4605	64129
67	4678	64127
68	4756	64181
69	4819	64024
70	4884	63917
71	4944	63732
72	5009	63615
73	5080	63574
74	5146	63479
75	5214	63394
76	5274	63223
77	5333	63050
78	5411	63083
79	5483	63062
80	5538	62836
81	5603	62733
82	5669	62632
83	5731	62499
84	5799	62428
85	5858	62263
86	5934	62276
87	6020	62389
88	6100	62439
89	6170	62390
90	6234	62274
91	6314	62318
92	6367	62097
93	6421	61890
94	6485	61785
95	6536	61548
96	6598	61431
97	6668	61377
98	6730	61257
99	6790	61116
100	6849	60969
101	6904	60786
102	6980	60792
103	7036	60619
104	7097	60494
105	7162	60404
106	7230	60346
107	7310	60376
108	7372	60264
109	7434	60149
110	7482	59931
111	7557	59916
112	7634	59925
113	7698	59832
114	7774	59827
115	7831	59679
116	7891	59553
117	7954	59458
118	8027	59433
119	8095	59363
120	8162	59296
121	8227	59212
122	8298	59172
123	8370	59136
124	8437	59061
125	8509	59028
126	8573	58935
127	8637	58845
128	8709	58806
129	8776	58732
130	8842	58659
131	8906	58569
132	8971	58480
133	9042	58439
134	9127	58483
135	9197	58428
136	9215	58049
137	9276	57942
138	9335	57827
139	9405	57774
140	9471	57702
141	9552	57720
142	9607	57578
143	9668	57472
144	9742	57449
145	9819	57439
146	9885	57364
147	9951	57286
148	10035	57317
149	10113	57311
150	10178	57230
151	10254	57211
152	10343	57263
153	10425	57273
154	10499	57240
155	10569	57186
156	10635	57106
157	10694	56993
158	10760	56913
159	10820	56808
160	10890	56753
161	10958	56684
162	11026	56618
163	11094	56552
164	11168	56520
165	11226	56401
166	11304	56386
167	11365	56286
168	11430	56205
169	11502	56161
170	11570	56093
171	11636	56015
172	11710	55980
173	11769	55872
174	11834	55791
175	11925	55832
176	11992	55761
177	12069	55734
178	12132	55647
179	12200	55578
180	12262	55485
181	12350	55510
182	12416	55433
183	12485	55370
184	12555	55310
185	12624	55247
186	12694	55189
187	12761	55117
188	12837	55086
189	12916	55065
190	12986	55006
191	13050	54922
192	13121	54864
193	13186	54784
194	13250	54702
195	13325	54660
196	13399	54617
197	13465	54543
198	13533	54475
199	13598	54395
200	13656	54286
201	13720	54204
202	13784	54117
203	13855	54063
204	13923	53997
205	14003	53975
206	14084	53956
207	14154	53895
208	14226	53842
209	14285	53740
210	14334	53601
211	14390	53490
212	14443	53367
213	14501	53261
214	14563	53175
215	14623	53077
216	14680	52972
217	14744	52891
218	14816	52838
219	14895	52811
220	14973	52780
221	15052	52752
222	15136	52739
223	15222	52735
224	15303	52712
225	15393	52718
226	15478	52709
227	15565	52704
228	15667	52748
229	15758	52756
230	15831	52704
231	15927	52724
232	16019	52733
233	16103	52714
234	16178	52666
235	16251	52612
236	16306	52497
237	16357	52371
238	16404	52232
239	16453	52103
240	16510	51998
241	16562	51878
242	16611	51748
243	16664	51632
244	16757	51639
245	16878	51733
246	16996	51813
247	17090	51823
248	17188	51841
249	17241	51725
250	17292	51601
251	17341	51475
252	17423	51442
253	17473	51321
254	17528	51210
255	17590	51121
256	17636	50989
257	17698	50899
258	17781	50872
259	17853	50812
260	17915	50725
261	17980	50645
262	18038	50548
263	18117	50508
264	18191	50455
265	18256	50375
266	18311	50270
267	18384	50214
268	18453	50146
269	18527	50094
270	18593	50017
271	18669	49968
272	18725	49865
273	18787	49780
274	18846	49685
275	18900	49578
276	18960	49488
277	19019	49396
278	19075	49294
279	19122	49171
280	19194	49112
281	19257	49032
282	19322	48955
283	19390	48885
284	19447	48789
285	19501	48684
286	19561	48597
287	19631	48534
288	19700	48467
289	19759	48377
290	19823	48298
291	19891	48231
292	19960	48163
293	20038	48119
294	20126	48099
295	20215	48080
296	20296	48040
297	20365	47974
298	20446	47937
299	20543	47933
300	20604	47848
301	20662	47757
302	20713	47648
303	20763	47536
304	20811	47423
305	20852	47292
306	20905	47190
307	20956	47084
308	21004	46971
309	21052	46859
310	21101	46749
311	21174	46691
312	21257	46658
313	21346	46636
314	21430	46602
315	21516	46574
316	21597	46534
317	21671	46477
318	21739	46408
319	21804	46335
320	21869	46260
321	21949	46217
322	22018	46150
323	22080	46070
324	22156	46016
325	22232	45965
326	22306	45908
327	22376	45843
328	22460	45807
329	22527	45737
330	22595	45668
331	22672	45617
332	22736	45542
333	22808	45481
334	22881	45421
335	22946	45346
336	23017	45284
337	23091	45225
338	23161	45160
339	23231	45096
340	23304	45037
341	23370	44964
342	23441	44900
343	23504	44823
344	23571	44751
345	23633	44670
346	23696	44593
347	23763	44522
348	23844	44477
349	23905	44396
350	23977	44333
351	24047	44269
352	24114	44197
353	24178	44121
354	24244	44050
355	24313	43982
356	24384	43919
357	24451	43849
358	24511	43765
359	24582	43701
360	24659	43649
361	24729	43584
362	24808	43534
363	24875	43464
364	24945	43398
365	25009	43322
366	25081	43260
367	25149	43192
368	25219	43126
369	25288	43058
370	25357	42990
371	25424	42921
372	25490	42848
373	25554	42772
374	25614	42690
375	25681	42620
376	25744	42542
377	25817	42482
378	25891	42424
379	25947	42336
380	26019	42272
381	26086	42202
382	26149	42126
383	26226	42071
384	26294	42002
385	26371	41949
386	26444	41887
387	26512	41819
388	26571	41735
389	26624	41644
390	26677	41551
391	26731	41460
392	26778	41360
393	26824	41257
394	26870	41155
395	26922	41063
396	26981	40981
397	27029	40884
398	27089	40803
399	27160	40741
400	27231	40678
401	27298	40608
402	27373	40550
403	27448	40492
404	27515	40424
405	27580	40351
406	27640	40271
407	27688	40174
408	27734	40075
409	27783	39980
410	27836	39891
411	27884	39795
412	27931	39699
413	27984	39611
414	28045	39533
415	28103	39453
416	28161	39371
417	28228	39303
418	28295	39235
419	28372	39181
420	28447	39123
421	28507	39045
422	28564	38964
423	28615	38873
424	28664	38781
425	28730	38711
426	28790	38634
427	28857	38565
428	28922	38495
429	28988	38425
430	29061	38367
431	29140	38313
432	29200	38236
433	29260	38160
434	29345	38114
435	29426	38065
436	29489	37991
437	29553	37920
438	29609	37838
439	29673	37766
440	29751	37712
441	29810	37634
442	29882	37572
443	29947	37501
444	30034	37459
445	30114	37407
446	30192	37351
447	30266	37292
448	30327	37217
449	30421	37181
450	30489	37114
451	30537	37023
452	30606	36957
453	30667	36881
454	30742	36823
455	30793	36736
456	30856	36663
457	30921	36592
458	30991	36528
459	31056	36457
460	31127	36394
461	31194	36325
462	31277	36276
463	31310	36168
464	31388	36113
465	31449	36038
466	31516	35970
467	31586	35906
468	31652	35837
469	31723	35773
470	31786	35701
471	31848	35627
472	31915	35559
473	31985	35494
474	32055	35429
475	32129	35368
476	32193	35297
477	32264	35234
478	32327	35162
479	32408	35109
480	32471	35037
481	32517	34946
482	32556	34848
483	32602	34757
484	32649	34668
485	32688	34571
486	32713	34460
487	32759	34370
488	32800	34275
489	32841	34181
490	32886	34092
491	32926	33997
492	33003	33941
493	33074	33878
494	33154	33824
495	33225	33761
496	33304	33706
497	33381	33649
498	33452	33587
499	33489	33489
500	33556	33422
501	33617	33349
502	33683	33282
503	33741	33206
504	33807	33138
505	33872	33069
506	33942	33004
507	34006	32935
508	34067	32862
509	34127	32789
510	34196	32724
511	34250	32644
512	34347	32606
513	34419	32544
514	34519	32508
515	34614	32468
516	34667	32387
517	34724	32311
518	34786	32239
519	34857	32176
520	34909	32095
521	34971	32023
522	35031	31949
523	35099	31884
524	35166	31817
525	35235	31752
526	35304	31686
527	35364	31613
528	35429	31544
529	35479	31463
530	35525	31377
531	35584	31303
532	35627	31215
533	35669	31127
534	35714	31041
535	35758	30955
536	35800	30867
537	35845	30781
538	35894	30699
539	35965	30637
540	36031	30570
541	36102	30507
542	36203	30469
543	36303	30430
544	36374	30367
545	36463	30319
546	36531	30253
547	36594	30183
548	36643	30102
549	36696	30024
550	36742	29941
551	36788	29857
552	36835	29774
553	36886	29695
554	36978	29649
555	37046	29584
556	37116	29520
557	37178	29449
558	37253	29389
559	37319	29322
560	37407	29272
561	37484	29214
562	37566	29159
563	37639	29097
564	37723	29043
565	37806	28989
566	37852	28906
567	37925	28844
568	37992	28778
569	38078	28725
570	38141	28656
571	38207	28589
572	38271	28519
573	38335	28450
574	38396	28380
575	38468	28317
576	38535	28250
577	38600	28182
578	38664	28113
579	38728	28044
580	38792	27976
581	38856	27907
582	38903	27826
583	38956	27749
584	39011	27674
585	39075	27606
586	39155	27549
587	39224	27483
588	39279	27408
589	39348	27343
590	39413	27275
591	39469	27202
592	39527	27129
593	39592	27061
594	39653	26991
595	39717	26922
596	39781	26854
597	39868	26801
598	39936	26735
599	40020	26680
600	40096	26619
601	40183	26566
602	40261	26507
603	40340	26448
604	40416	26387
605	40482	26320
606	40536	26245
607	40590	26170
608	40651	26099
609	40715	26031
610	40797	25974
611	40865	25908
612	40929	25839
613	40995	25772
614	41055	25701
615	41133	25641
616	41193	25570
617	41248	25496
618	41306	25424
619	41373	25358
620	41428	25283
621	41485	25211
622	41543	25139
623	41602	25068
624	41667	25000
625	41735	24934
626	41804	24869
627	41867	24800
628	41918	24724
629	41995	24663
630	42052	24591
631	42135	24534
632	42200	24467
633	42271	24402
634	42336	24335
635	42408	24271
636	42474	24204
637	42543	24138
638	42612	24073
639	42692	24014
640	42774	23956
641	42838	23887
642	42899	23818
643	42957	23746
644	43021	23678
645	43081	23608
646	43142	23538
647	43201	23467
648	43260	23396
649	43317	23324
650	43379	23255
651	43430	23180
652	43492	23111
653	43561	23046
654	43638	22985
655	43707	22919
656	43767	22849
657	43832	22781
658	43894	22713
659	43955	22643
660	44029	22580
661	44113	22523
662	44192	22462
663	44253	22393
664	44328	22330
665	44385	22259
666	44450	22191
667	44523	22128
668	44585	22059
669	44649	21991
670	44732	21932
671	44802	21867
672	44870	21801
673	44933	21733
674	45001	21667
675	45063	21598
676	45123	21528
677	45197	21465
678	45261	21397
679	45319	21326
680	45376	21255
681	45443	21189
682	45506	21120
683	45575	21055
684	45646	20990
685	45710	20922
686	45792	20863
687	45853	20794
688	45921	20728
689	45986	20660
690	46048	20591
691	46107	20521
692	46170	20453
693	46226	20382
694	46301	20319
695	46373	20254
696	46435	20186
697	46497	20117
698	46566	20052
699	46634	19986
700	46709	19923
701	46772	19854
702	46836	19787
703	46908	19722
704	46979	19657
705	47047	19591
706	47109	19523
707	47169	19454
708	47234	19386
709	47317	19326
710	47375	19256
711	47440	19189
712	47513	19125
713	47588	19061
714	47663	18998
715	47724	18929
716	47801	18867
717	47877	18804
718	47947	18738
719	48016	18673
720	48089	18608
721	48159	18543
722	48245	18484
723	48318	18419
724	48388	18354
725	48462	18290
726	48519	18219
727	48576	18149
728	48633	18079
729	48711	18016
730	48767	17945
731	48825	17876
732	48899	17812
733	48956	17741
734	49019	17673
735	49086	17607
736	49128	17531
737	49186	17461
738	49240	17390
739	49299	17321
740	49387	17262
741	49472	17201
742	49526	17130
743	49583	17060
744	49636	16989
745	49693	16919
746	49754	16851
747	49809	16780
748	49871	16712
749	49935	16645
750	49994	16575
751	50067	16511
752	50130	16443
753	50179	16371
754	50235	16301
755	50297	16233
756	50354	16163
757	50430	16100
758	50490	16031
759	50574	15970
760	50633	15901
761	50689	15832
762	50744	15762
